تاريخ العقد;Municipality Name;اسم البلدية;Zone Name;اسم المنطقة;Real Estate Type;نوع العقار;المساحة بالمتر المربع;سعر القدم المربع;قيمة العقار
2024-02-08;Al Khor and Al Dakhira;الخور والذخيرة;Al Khor;الخور;Residence;مسكن;104;357.32;400000
2024-02-08;Al Rayyan;الريان;Al Mearad;المعراض;Residence;مسكن;900;516.128;5000000
2024-02-08;Al Daayen;الظعاين;Al Ebb;العب;Residence;مسكن;666;711.42;5100000
2024-02-08;Al Wakrah;الوكرة;Al Wakrah;الوكرة;Residence;مسكن;521;329.886;1850000
2024-02-08;Al Wakrah;الوكرة;Al Wukair;الوكير;Vacant Land;أرض فضاء;1009;200.007;2172226
2024-02-08;Al Wakrah;الوكرة;Al Wukair;الوكير;Vacant Land;أرض فضاء;713;200.002;1534946
2024-02-08;Al Wakrah;الوكرة;Al Wukair;الوكير;Vacant Land;أرض فضاء;1056;200.007;2273410
2024-02-08;Doha;الدوحة;Nuaija 43;نعيجة 43;Residence;مسكن;909;367.933;3600000
2024-02-08;Al Rayyan;الريان;Luaib;لعيب;Residence;مسكن;612;268.69;1770000
2024-02-08;Al Shamal;الشمال;Al Ruwais;الرويس;Vacant Land;أرض فضاء;580;126.54;790000
2024-02-08;Al Wakrah;الوكرة;Al Mashaf;المشاف;Vacant Land;أرض فضاء;598;279.642;1800000
2024-02-08;Doha;الدوحة;Madinat Khalifa South;مدينة خليفة الجنوبية;Residence;مسكن;898;434.514;4200000
2024-02-08;Al Rayyan;الريان;New Al Rayyan;الريان الجديد;Residence;مسكن;840;276.497;2500000
2024-02-08;Al Daayen;الظعاين;Al Sakhama;الصخامة;Vacant Land;أرض فضاء;600;263.226;1700000
2024-02-07;Umm Slal;أم صلال;Umm Slal Ali;ام صلال علي;Vacant Land;أرض فضاء;450;279.948;1356000
2024-02-07;Doha;الدوحة;Old Airport;المطار القديم;Residence;مسكن;529;439.051;2500000
2024-02-07;Al Rayyan;الريان;Gharrafat Al Rayyan;غرافة الريان;Residence;مسكن;600;619.354;4000000
2024-02-07;Al Rayyan;الريان;Al Luqta;اللقطة;Residence;مسكن;1391;333.944;5000000
2024-02-07;Al Rayyan;الريان;Muaither 53;معيذر 53;Residence;مسكن;427;348.115;1600000
2024-02-07;Al Daayen;الظعاين;Al Kheesa;الخيسة;Residence;مسكن;421;551.681;2500000
2024-02-07;Doha;الدوحة;The Pearl Island;جزيرة اللؤلؤة;Residential Unit;وحدة سكنية;57;1948.67;1200000
2024-02-07;Umm Slal;أم صلال;Umm Ebairiya;ام عبيرية;Vacant Land;أرض فضاء;1617;180.98;3150000
